ts,chain,address,symbol,binance_symbol,binance_base_asset,binance_match_type,label,pump_score,dump_score,anomaly_score,smart_money_score,risk_score,reasons
2026-04-29T11:12:52+00:00,solana,orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,ORCA,,,,anomaly_watch,1.41,6.25,100.0,0.0,25.0,risk:mintable;ml_isolation_forest_anomaly
2026-04-29T11:12:52+00:00,solana,3TYgKwkE2Y3rxdw9osLRSpxpXmSC1C1oo19W9KHspump,BULL,,,,anomaly_watch,46.52,0.0,94.31,4.84,0.0,normal_watch;ml_isolation_forest_anomaly
2026-04-29T11:12:52+00:00,solana,4ddiPLPAzYab83FN1CBWQFEuTnciBQiG7vKm5FCYhivG,MINIBELKA,,,,anomaly_watch,66.0,0.0,81.89,0.0,0.0,sudden_rise_price_plus_volume;ml_isolation_forest_anomaly
2026-04-29T11:12:52+00:00,solana,AA5piGrJAb3SQSCJditaHpDVFMZQCE7DVX4A8Rhdpump,茶太郎,,,,anomaly_watch,62.49,0.0,72.71,12.07,0.0,sudden_rise_price_plus_volume;buy_pressure;ml_isolation_forest_anomaly
2026-04-29T11:12:52+00:00,solana,968CSXD8RhRpaHWWiB8wVUePzYCJdj5sw8xDnCuGpump,Anonymoos,,,,watch,30.0,34.85,66.98,0.0,0.0,selloff_distribution
2026-04-29T11:12:52+00:00,solana,868fXw9Rzv2mLf9FvEgeuYNs2VoVdVc6WYaReYR9SRR8,MINIBELKA,,,,watch,52.55,0.0,65.0,0.0,0.0,sudden_rise_price_plus_volume
2026-04-29T11:12:52+00:00,solana,sSTPLiSJSmHnDXc3bWpnXngqnENmKMNB42YMTAwgyC5,Chataro,,,,watch,55.65,0.0,65.0,0.0,0.0,sudden_rise_price_plus_volume
2026-04-29T11:12:52+00:00,solana,2dxSofKGoENyTatyUk1W9BFooUnjAZUeXxXWH8Uuxtpv,CR7,,,,watch,58.62,0.0,65.0,0.0,0.0,sudden_rise_price_plus_volume
2026-04-29T11:12:52+00:00,solana,8GxLxKA8tf3h8JUkXFfP4dNyn6D2vvwyGif5wanRpump,MASCOTS,,,,watch,6.39,9.51,50.22,2.95,0.0,normal_watch
2026-04-29T11:12:52+00:00,solana,BavYgQrK3DAeEDqKGpAR28G2vdR4AA7345ge1gKmpump,WishCoin,,,,watch,39.24,0.0,44.38,0.0,0.0,normal_watch
2026-04-29T11:12:52+00:00,solana,GUfyGEF62BUUqj5f5PveZknhBQMWWFSXm2jqAdikpump,musk,,,,watch,4.67,36.37,44.09,0.0,0.0,normal_watch
2026-04-29T11:12:52+00:00,solana,A7vMVH1cBZCC8Y9rFWa5JLcbCpHzr4Jx2zfkdiMtLQMs,Cull,,,,watch,37.16,0.0,41.13,0.0,0.0,normal_watch
2026-04-29T11:12:52+00:00,solana,25u7btnrqRPTuXZNPwKJU6sgpjX2rXjUZZ3kSDcWaFsS,maxxing,,,,watch,30.49,0.0,37.4,0.0,0.0,normal_watch
2026-04-29T11:12:52+00:00,solana,FerHa9hq1JMLjvbCf61qiyjAgSiSEPCZ7Q7G2HZPAx4h,ALAN,,,,watch,30.0,4.23,36.58,0.0,0.0,normal_watch
2026-04-29T11:12:52+00:00,solana,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,ewon,,,,watch,20.29,3.2,33.79,0.0,0.0,normal_watch
2026-04-29T11:12:52+00:00,solana,4df1wZoygsynEZ6XmpcoabrVwv7nBgjHLyCns5xApump,BELKA,,,,watch,2.67,14.8,30.03,0.0,0.0,normal_watch
2026-04-29T11:12:52+00:00,solana,6AVAUKa9uxQpruHZUinFECpXEh1usRVtzQWK8N2wpump,SCAM,,,,watch,1.6,16.51,25.55,0.0,0.0,normal_watch
2026-04-29T11:12:52+00:00,solana,VNo7EjR3XVzvbjUgQrFAXNwSms34fHwHBt1Xoaopump,chudhouse,,,,watch,2.13,11.29,15.47,0.0,0.0,normal_watch
2026-04-29T11:12:52+00:00,solana,HmBdm8vbisABUjkxms6ZUnoaXbfwFM6ymxShWfAENaoi,EITHER,,,,watch,7.6,0.0,11.97,0.0,0.0,normal_watch
2026-04-29T11:12:52+00:00,solana,CGEDT9QZDvvH5GmVkWJH2BXiMJqMJySC9ihWyr7Spump,BURNIE,,,,watch,2.48,0.41,4.32,0.0,0.0,normal_watch
